ID	Label	Occurrences	Text
0	bla	3032761	life world story book time love years man family young author work people lives war american great find stories woman 
1	Fantasy	112939	magic world fantasy evil dark land king magical power ancient lord die dragon los save quest find kingdom young prince 
2	Young_Adult	33155	shes school friends girl hes jessica elizabeth high doesnt summer parents friend love girls boy find mother boyfriend life things 
3	Favorites	35229	una los del las con por les und para como son die sus vida qui des harry une der dans 
4	Science_Fiction	65373	planet earth science human space fiction alien future galaxy universe die race time les humans novelette los worlds war aliens 
5	Travel	13636	travel journey guide country travelers places adventure trip account history book travels maps place guides people bryson culture land information 
6	Humor	7060	hilarious adams guide comic der funny collection dave barry youre und humor jeeves dilbert die bertie food cartoons laugh del 
7	Adventure	5429	ring der hobbit bilbo tarzan und die baggins tolkiens den lord pitt gandalf middleearth dark great wizard dragon pirate quest 
8	Classics	113064	edition work literature text works english introduction readers original translation notes books les historical tale editions play classic book published 
9	Media_Tie_In	16991	jedi star doctor planet captain wars crew luke galaxy skywalker space federation han republic kirk empire mission enterprise universe solo 
10	Fiction	128611	una los del der die und con las por des les para qui son une sus dans est como von 
11	Criticism	412	critical criticism che les lart sketch della bibliography scholarly excerpts biographical descriptive annotated masterpieces extensive comprehensive analysis roman overview literary 
12	Historical	42153	king war los son england battle roman una del queen historical die court con rome las por und der empire 
13	Nonfiction	96879	book los guide offers una del edition social las information shows history con practical culture health work cultural people including 
14	Plays	20091	play plays shakespeare edition shakespeares text introduction drama notes theatre comedy stage modern und playwright work der theater english texts 
15	Christian	19624	god life bible gods book jesus christ study christian heart love spiritual faith women readers christians church personal lives bestselling 
16	Business	28235	business book management success people companies marketing managers work successful company project guide leadership make shows ideas financial sales practical 
17	Reference	12720	edition book guide students information reference writing text research dictionary includes web bible language words english features revised internet study 
18	History	114496	history war american world book account political great century years historical military modern europe narrative states america work men social 
19	Mystery	126510	murder case killer mystery detective dead police crime found death find finds body murdered woman investigation friend inspector victim shes 
20	Poetry	40703	poems poetry poet poets work collection book poem published edition english volume american verse poetic language works introduction literature includes 
21	Childrens	73906	book children books day illustrations story tale school classic big readers friends young time make boy fun house perfect picture 
22	Sociology	2640	social sociology society work welfare theory sociological students edition cultural book field text analysis bourdieu introduction bourdieus modernity important politics 
23	Magical_Realism	515	los una del macondo con las pueblo captulos aos como son literatura buendia narra historia familia boca novela haba buenda 
24	Philosophy	63583	philosophy work book philosophical thought political introduction translation works history edition theory modern human text ideas nature philosophers social important 
25	Politics	13363	political politics america war american bush president government states power book democracy united iraq economic policy global state chomsky democratic 
26	Writing	2359	essays collection books literature literary essay reading writing writers pieces los range criticism writer volume subjects kafka sobre coetzee journalism 
27	Christian_Fiction	4538	faith god series left find hope heart romance determined gods christian tribulation town wife christ cade jesus shes bestselling nicolae 
28	Romance	77290	love man woman heart shes passion handsome lady hes desire marriage determined beauty life find finds past una home beautiful 
29	Computer_Science	9528	programming book design software language java code edition development web techniques examples system including programmers patterns learn applications programs youll 
30	Biography	35343	life biography man years portrait american personal career john political history century figure great president private early hollywood interviews age 
31	Design	2007	design book designers type web graphic brand information identity process examples guide designer research brands site edition layout typography practical 
32	Art	19556	art book artists work artist color images works photographs painting paintings short history story photography text illustrations artistic century volume 
33	Economics	14038	economic economics market financial money book investment theory investing economy edition analysis investors markets stock world work economist business wall 
34	Sports	2959	baseball training sports game exercise program team fitness players pilates league exercises strength yankees tour body season sport athletes player 
35	Health	13514	health diet body book weight food program healing medical foods information guide medicine disease eating exercise healthy energy plan eat 
36	Sequential_Art	42530	comics comic tintin les graphic series volume son dans une batman collects des team manga qui est battle pour strip 
37	Sports_and_Games	4918	game sports players team coach football golf basketball season baseball professional play sport fans games history pro inside player league 
38	Thriller	8815	killer reacher thriller agent jack fbi suspense die president der deadly killing rain smoky hes secret murder team terrorist los 
39	Parenting	12557	parents children child book parenting boys kids baby practical guide childs advice family make sleep work information parent raising offers 
40	Marriage	1213	marriage couples relationship relationships spouse love boundaries practical intimacy make god gary youll values book understand couple guide marriages biblical 
41	Religion	56360	book bible god jesus christian spiritual church text work biblical study translation faith life religion world christ religious christianity theology 
42	Self_Help	12937	life book people success relationships personal practical shows work guide lives make happiness learn change offers author relationship bestselling dont 
43	Food_and_Drink	25317	recipes food cooking dishes book kitchen cookbook cook ingredients delicious cooks make meals chicken culinary simple recipe foods techniques fresh 
44	Leadership	2369	leadership leaders leader business maxwell principles people success vision potential john organization organizations stanley relationships practical andy ministry heart talent 
45	Spirituality	14885	spiritual book life god wisdom healing readers personal energy offers meditation spirit shows soul lives body experience path power world 
46	Literature	2581	der und die van een una son les del wiesel elie jewish tales por los american zijn den como english 
47	Drama	2346	shakespeare play plays edition shakespeares othello notes text del theatre oberon oedipus performance henry demetrius hermia helena drama king desdemona 
48	Short_Stories	15726	stories collection short tales fiction story writers authors una los del und die perspective writer title las der characters des 
49	Cultural	22256	les des qui une dans est son pas pour par una japanese avec mais sur los elle cest dun del 
50	None	2359	con los una del systems yang por principles biagio disney dan vida las vinci vantran esta literatura para ini hypnosis 
51	Language	5417	writing writers book fiction write writer advice creative guide craft process good readers create stories characters practical youll techniques shows 
52	Science	41602	science book theory physics scientific human universe edition evolution systems quantum text scientists nature understanding students work mathematics modern computer 
